id,oper_type + oper_attr,index_oper,type,priority,is_privatecategory,class,is_in_yandex,is_return,weight,mailtype,mailctg,mailrank,directctg,transport_pay,postmark,name_mfi,weight_mfi,price_mfi,dist_qty_oper_login_1,total_qty_oper_login_1,total_qty_oper_login_0,total_qty_over_index_and_type,total_qty_over_index,is_wrong_sndr_name,is_wrong_rcpn_name,is_wrong_phone_number,is_wrong_address
6702702,8_0,102968,ТИ,7503.0,N,0.0,N,N,275.0,5.0,1.0,0.0,2.0,32.7,0.0,SUITS,248.0,500.0,40.0,9560324.0,2169758.0,11730082.0,11979988.0,0,0,0,0
8974616,1042_-1,180960,МСЦ,7503.0,N,0.0,Y,N,330.0,5.0,1.0,0.0,2.0,34.82,0.0,0,0.0,0.0,26.0,747636.0,56392.0,804028.0,8183688.0,0,1,0,0
4110718,1041_-1,102971,Цех,7506.0,N,0.0,N,N,108.0,5.0,1.0,0.0,2.0,0.0,0.0,"ID Holders,Push button switch,LED Bulbs & Tubes",84.0,334.0,184.0,67541214.0,7870.0,67549084.0,72981134.0,0,0,0,0
8018145,1019_-1,625965,Цех,7503.0,N,0.0,Y,N,727.0,5.0,1.0,0.0,2.0,0.0,0.0,"Mechanical Wristwatches,casual shoes",628.0,1300.0,34.0,764304.0,254120.0,1018424.0,2588334.0,0,0,0,0
5724131,1043_-1,140980,Цех,7503.0,N,0.0,Y,N,1251.0,5.0,1.0,0.0,2.0,96.2,0.0,0,0.0,0.0,96.0,12468129.0,6955914.0,19424043.0,163189566.0,0,1,1,0
5310216,1019_-1,680051.0,ГОПС,7506.0,N,2.0,Y,N,745.0,5.0,1.0,0.0,2.0,0.0,0.0,Speakers,760.0,5043.0,20.0,102487.0,16485.0,118972.0,724820.0,0,0,0,0
8748719,1_-1,102981,Цех,7503.0,N,0.0,N,N,99.0,5.0,1.0,0.0,2.0,0.0,0.0,fishing tackle,46.0,100.0,48.0,3132260.0,856016.0,3988276.0,3997069.0,0,0,1,0
2033666,8_2,300012,ГОПС,7503.0,N,3.0,Y,N,12.0,5.0,0.0,0.0,2.0,0.0,0.0,hair accessories,100.0,20.0,15.0,7881.0,5219.0,13100.0,247351.0,0,0,1,0
1301305,1043_-1,673509,Участок,7504.0,N,0.0,Y,N,119.0,5.0,1.0,0.0,2.0,2.69,0.0,0,0.0,0.0,1.0,6347.0,677.0,7024.0,95015.0,0,1,0,0
267868,1022_-1,620984.0,Участок,7503.0,N,0.0,N,N,25.0,5.0,0.0,0.0,2.0,0.0,0.0,phone glass,30.0,45.0,16.0,456104.0,14495806.0,14951910.0,15022023.0,0,0,0,0
6139854,8_0,640960.0,МСЦ,7506.0,N,0.0,Y,N,135.0,5.0,1.0,0.0,2.0,0.0,0.0,Speakers(live-black),122.0,490.0,37.0,943894.0,77878.0,1021772.0,11895833.0,0,0,0,0
8797924,1020_-1,102976,ММПО,7503.0,N,0.0,N,N,52.0,5.0,1.0,0.0,2.0,0.0,0.0,Stationery Sticker,100.0,1.0,914.0,48856658.0,83318932.0,132175590.0,136819803.0,0,0,0,0
8813838,1020_-1,601649.0,Участок,7503.0,N,0.0,N,N,70.0,5.0,1.0,0.0,2.0,0.0,0.0,alcohol tester,75.0,157.0,6.0,117534.0,18741.0,136275.0,2545252.0,0,0,0,0
39991,1022_-1,102971.0,Цех,7506.0,N,0.0,N,N,58.0,5.0,-1.0,0.0,2.0,0.0,0.0,Chocolate dispenser,52.0,300.0,184.0,67541214.0,7870.0,67549084.0,72981134.0,0,0,0,0
4206651,1022_-1,102976.0,ММПО,7503.0,N,0.0,N,N,52.0,5.0,1.0,0.0,2.0,0.0,0.0,"Wrapping Tools Kit(1005002618582,Wrapping Tools Kit(1005002618582799)",147.0,300.0,914.0,48856658.0,83318932.0,132175590.0,136819803.0,0,0,0,0
1716339,1022_-1,102969.0,ТИ,7503.0,N,0.0,N,N,286.0,5.0,1.0,0.0,2.0,29.36,0.0,Canvas painting(1005001703275699),86.0,100.0,106.0,17348074.0,3469387.0,20817461.0,20821109.0,0,0,0,0
3505297,1044_-1,443962,Цех,7503.0,N,0.0,Y,N,285.0,5.0,1.0,0.0,2.0,29.27,0.0,interface and cable,257.0,1000.0,54.0,2945559.0,192.0,2945751.0,54220629.0,0,1,0,0
4723429,8_6,102976.0,ММПО,7503.0,N,0.0,N,N,88.0,5.0,1.0,0.0,2.0,0.0,0.0,"Screen Protectors,Mobile Phone Bags & Cases",55.0,250.0,914.0,48856658.0,83318932.0,132175590.0,136819803.0,0,0,0,0
7121789,2_1,164900,ГОПС,7504.0,N,3.0,Y,N,942.0,5.0,1.0,0.0,2.0,69.0,0.0,0,0.0,0.0,11.0,21591.0,2238.0,23829.0,386179.0,0,1,0,0
2184489,1044_-1,141948,Цех,7503.0,N,0.0,Y,N,52.0,5.0,1.0,0.0,2.0,0.0,0.0,"Educational toys,Blocks",100.0,234.0,39.0,2991394.0,195624.0,3187018.0,17175514.0,0,0,0,0
3871160,1018_-1,690960,МСЦ,7506.0,N,0.0,Y,N,274.0,5.0,1.0,0.0,2.0,28.8,0.0,shoes(C0029-XXXL-Dark Blue),245.0,750.0,15.0,384681.0,499554.0,884235.0,7988798.0,0,0,0,0
8274093,1020_-1,102971,Цех,7506.0,N,0.0,N,N,19.0,5.0,0.0,0.0,2.0,0.0,0.0,Cat wand,17.0,20.0,153.0,89268735.0,6799759.0,96068494.0,101200378.0,0,0,1,0
7995664,1_-1,625962.0,Участок,7503.0,N,0.0,Y,N,1407.0,5.0,1.0,0.0,2.0,100.73,0.0,Sets & Kits,423.0,300.0,52.0,4341739.0,4856.0,4346595.0,28510928.0,0,0,0,0
6768359,1020_-1,102971,Цех,7506.0,N,0.0,N,N,257.0,5.0,0.0,0.0,2.0,0.0,0.0,baby clothing,110.0,100.0,172.0,48772076.0,11990.0,48784066.0,58042096.0,0,0,0,0
5267894,1022_-1,624059,Участок,7503.0,N,0.0,Y,N,215.0,5.0,1.0,0.0,2.0,26.09,0.0,caps,41.0,50.0,7.0,98731.0,88094.0,186825.0,2636653.0,0,0,0,0
6247188,26_-1,344962.0,Участок,7503.0,N,0.0,Y,N,23.0,5.0,0.0,0.0,2.0,0.0,0.0,Headphone silicone case,30.0,200.0,38.0,2505534.0,21336.0,2526870.0,23539018.0,0,0,1,0
8578380,29_-1,102998,ТИ,7503.0,N,0.0,N,N,34.0,5.0,0.0,0.0,2.0,0.0,0.0,Beads/rope(GT-02white),31.0,15.0,41.0,7154731.0,3307604.0,10462335.0,10538539.0,0,0,1,0
2887884,1004_-1,102976.0,ММПО,7503.0,N,0.0,N,N,19.0,5.0,0.0,0.0,2.0,0.0,0.0,prism glass(C13-R5),17.0,1.0,1089.0,64270133.0,116432632.0,180702765.0,188407812.0,0,0,0,0
7357666,11_-1,102976.0,ММПО,7503.0,N,0.0,N,N,111.0,5.0,1.0,0.0,2.0,0.0,0.0,"Potentiometer,IC(Js-D17-(100pcs)),integrated circuit",53.0,230.0,914.0,48856658.0,83318932.0,132175590.0,136819803.0,0,0,0,0
2842289,8_0,102968,ТИ,7503.0,N,0.0,N,N,1432.0,5.0,1.0,0.0,2.0,82.12,0.0,motherboard(X99-Hong-2620V3-2XD4-8G-2666),1287.0,2000.0,83.0,10049286.0,2301168.0,12350454.0,12454881.0,0,0,1,0
2905288,1020_-1,102976,ММПО,7503.0,N,0.0,N,N,37.0,5.0,0.0,0.0,2.0,0.0,0.0,Shoe Cleaning Eraser,33.0,200.0,1089.0,64270133.0,116432632.0,180702765.0,188407812.0,0,0,1,0
2070061,1022_-1,141948.0,Цех,7503.0,N,0.0,Y,N,103.0,5.0,1.0,0.0,2.0,0.0,0.0,"label dies,Dies Stencil,Transparent Stamp,cutting die",163.0,489.0,39.0,2991394.0,195624.0,3187018.0,17175514.0,0,0,0,0
8498924,1042_-1,200980.0,Цех,7503.0,N,0.0,Y,N,294.0,5.0,1.0,0.0,2.0,29.82,0.0,Storage rack,69.0,20.0,96.0,12264077.0,3982.0,12268059.0,149963817.0,0,0,0,0
187821,1_-1,102971,Цех,7506.0,N,0.0,N,N,300.0,5.0,1.0,0.0,2.0,30.0,0.0,Integrated Circuits,26.0,108.0,186.0,60613352.0,10648.0,60624000.0,75592387.0,0,0,0,0
5903744,8_0,625962.0,Участок,7503.0,N,0.0,Y,N,90.0,5.0,1.0,0.0,2.0,0.0,0.0,"Phone Case,Test paper(miao-471-DAN)",67.0,137.0,43.0,2345548.0,3004.0,2348552.0,19642841.0,0,0,0,0
2714919,1022_-1,354399,П,7506.0,N,1.0,Y,N,378.0,5.0,1.0,0.0,2.0,30.51,0.0,0,0.0,0.0,11.0,296905.0,27330.0,324235.0,3201124.0,0,1,0,0
9419838,1016_-1,420306.0,Цех,7503.0,N,0.0,Y,N,130.0,5.0,1.0,0.0,2.0,22.27,0.0,Tape,119.0,200.0,361.0,9570832.0,3258747.0,12829579.0,18959055.0,0,0,0,0
2489061,1020_-1,420962,Участок,7503.0,N,0.0,Y,N,1988.0,5.0,1.0,0.0,2.0,0.0,0.0,PLASTIC CONNECTORS,447.0,200.0,32.0,5834572.0,955.0,5835527.0,18606489.0,0,0,0,0
5901109,8_0,102152.0,Цех,7506.0,N,0.0,N,N,335.0,5.0,1.0,0.0,2.0,0.0,0.0,Neck Massager,344.0,100.0,86.0,26506395.0,72183.0,26578578.0,55331744.0,0,0,0,0
1074583,8_13,102976,ММПО,7503.0,N,0.0,N,N,102.0,5.0,1.0,0.0,2.0,0.0,0.0,"interface and cable,Mobile Phone Touch Panel",110.0,600.0,914.0,48856658.0,83318932.0,132175590.0,136819803.0,0,0,0,0
119761,8_2,624202,ГОПС,7503.0,N,3.0,Y,N,27.0,5.0,0.0,0.0,2.0,0.0,0.0,Extension Line,24.0,135.0,5.0,11364.0,3737.0,15101.0,34181.0,0,0,0,0
6706490,185_-1,102976,ММПО,7503.0,N,0.0,N,N,43.0,5.0,1.0,0.0,2.0,0.0,0.0,underwear,41.0,100.0,1142.0,60526245.0,96079047.0,156605292.0,163843348.0,0,0,0,0
3568706,0_-1,420312,Цех,7503.0,N,0.0,Y,N,170.0,5.0,1.0,0.0,2.0,0.0,0.0,"drill bit,Manicure Pedicure Tools  Kits,resistance",120.0,240.0,105.0,4273111.0,1459081.0,5732192.0,5735070.0,0,0,0,0
1921327,1_-1,420962,Участок,7503.0,N,0.0,Y,N,66.0,5.0,1.0,0.0,2.0,0.0,0.0,0,0.0,0.0,32.0,5834572.0,955.0,5835527.0,18606489.0,0,1,1,0
7979797,1020_-1,241963,Цех,7503.0,N,0.0,Y,N,292.0,5.0,1.0,0.0,2.0,0.0,0.0,Measuring tools and accessories,316.0,1399.0,31.0,1767370.0,144063.0,1911433.0,15582018.0,0,0,1,0
9664233,1020_-1,665998,Цех,7504.0,N,0.0,Y,N,167.0,5.0,1.0,0.0,2.0,0.0,0.0,"drill bit,brush,nail drill bits,jewelry,RING,ring",88.0,216.0,13.0,224573.0,57929.0,282502.0,5103146.0,0,0,0,0
1825182,1_-1,200980.0,Цех,7503.0,N,0.0,Y,N,40.0,5.0,1.0,0.0,2.0,1.6,0.0,Hanging Trash Storages,40.0,25.0,96.0,12264077.0,3982.0,12268059.0,149963817.0,0,1,0,0
5793609,8_2,685000.0,ГОПС,7506.0,N,1.0,Y,N,69.0,5.0,0.0,0.0,2.0,0.0,0.0,"Skullies & Beanies(5YuanHeBei612,Skullies & Beanies(5YuanHeBei612FSfashion)",212.0,400.0,14.0,45874.0,13071.0,58945.0,1616694.0,0,0,1,0
7946401,1023_-1,102976,ММПО,7503.0,N,0.0,N,N,580.0,5.0,1.0,0.0,2.0,48.47,0.0,0,0.0,0.0,914.0,48856658.0,83318932.0,132175590.0,136819803.0,0,1,0,0
2771451,1014_-1,630872,Цех,7503.0,N,0.0,N,N,23.0,5.0,1.0,0.0,2.0,17.25,0.0,fishing line(MK-M003-3#80),19.0,200.0,50.0,7981096.0,5446366.0,13427462.0,13504054.0,0,0,0,0
4177513,1023_-1,620984,Участок,7503.0,N,0.0,N,N,89.0,5.0,1.0,0.0,2.0,20.2,0.0,0,0.0,0.0,27.0,9164121.0,4770841.0,13934962.0,14030822.0,0,0,0,0
182494,1022_-1,141288,Участок,7503.0,N,0.0,Y,N,78.0,5.0,1.0,0.0,2.0,0.0,0.0,"fabric(x049-1-20x50),fabric(x129-3-20x50),fabric(x216-3-20x50),fabric(343-10cmx10cm),fabric(x264-2-20x50)",212.0,820.0,25.0,1050297.0,73323.0,1123620.0,13747848.0,0,0,0,0
1718195,1042_-1,623159.0,П,7504.0,N,1.0,Y,N,87.0,5.0,1.0,0.0,2.0,0.0,0.0,"Sandstone,keychain buckle ring",77.0,335.0,22.0,402725.0,42415.0,445140.0,8415930.0,0,0,0,0
9768971,39_-1,104006,Участок,7503.0,N,0.0,N,N,739.0,5.0,1.0,0.0,2.0,0.0,0.0,"Rotary Cutter Set,Sewing machine fast threader,Tools & Accessories,Pants edge paste,Sewing Tools & Accessory,Hemming Clips,Patch(A402L+S),pen,Patch(A048L+S),Patch(A013L+S),Patch(A150L+S),Patch(A217L+S),ruler,Patch(A012L+S),Patch(A046L+S),Patch(A012L),Patch(A185L),screwdriver,stickers",668.0,2253.0,2.0,15.0,13673720.0,13673735.0,14041298.0,0,0,0,0
6664319,1022_-1,108978,Участок,7506.0,N,0.0,N,N,292.0,5.0,1.0,0.0,2.0,29.63,0.0,Mobile Phone Holders,61.0,39.0,194.0,3987937.0,892041.0,4879978.0,19158399.0,0,0,0,0
5525144,8_0,140978.0,Участок,7503.0,N,0.0,Y,N,26.0,5.0,0.0,0.0,2.0,0.0,0.0,hairwear,35.0,155.0,83.0,2019935.0,16.0,2019951.0,9244307.0,0,0,1,0
